country,review_id,author,rating,title,review_text,date,app_version
ca,12800980768,Esewaaaa needs to be fixed,1,Always login problem,"There is always a login problem or problem when doing a payment. Even if it has my face lock in it, it says mpin error.",2025-06-21T09:39:08-07:00,5.5.22
np,12831289795,Yobshsb,1,App not working well,Chaine bela chalne haina kasto yrr ewallet rakheko ta maylab nai vayena ni,2025-06-29T06:30:35-07:00,5.5.22
np,12831271552,Trjejdhf,1,Worst app,Charging money for everything worst app better switching to khalti get glitched mostly ewww,2025-06-29T06:24:58-07:00,5.5.22
np,12831148901,f esewa,1,bakwas,bakwas app sala jaba jaba payment garna khojxu jailay server down jailay aavar parxa chutiya esewa,2025-06-29T05:46:25-07:00,5.5.22
np,12829801065,Sayon gurung,2,Money pending problem,Money pending problem In month it happen 1 times for sure. Fix this problem,2025-06-28T20:46:23-07:00,5.5.22
np,12823762044,Cgnavivenne,2,Worst,"Why I can’t see the amount even after updating this app, refreshing the site isn’t working too. I can only see processing but no update…..",2025-06-27T08:04:46-07:00,5.5.22
np,12823663809,aalubhai,3,Dimag kharab banauxa,Problems ghari ghari aaune lai chai thik garnu paryo yar.. server alik gatilo banaunu paryo.. dimag kharab garxa yar,2025-06-27T07:37:17-07:00,5.5.22
np,12823394384,santosh2768,1,worst App! Dont use it,"every next 2-3 days, specially in the evening nothing works specially transactions and all! always bother me to stay even 1-2 hour more just because transaction doesnt complete!!!!!",2025-06-27T06:21:25-07:00,5.5.22
np,12822016749,Basic user001,1,Cellular data not working,Why the hell i cant use my cellular data for transactions ?,2025-06-26T21:31:21-07:00,5.5.22
np,12815756435,Bishampun,1,Maj aaya na,K gara ko yrr yo app la maro paisa ja harayo ni maj ja aauna yo app chalaya ra,2025-06-25T07:41:49-07:00,5.5.22
np,12795524650,sandesey,1,KYC,You almost be 16 years old problem issue solved gardinu paro eSewa team🙂,2025-06-20T00:39:05-07:00,5.5.21
np,12795131566,PuntuDada49,1,Bad customer service,Bad service from customer care team,2025-06-19T21:35:53-07:00,5.5.21
np,12795112958,Eelsyaaa..,1,Worst Customer Service and Unreliable System,"eSewa has the worst customer service I’ve experienced. Every time I need to make a payment, the system is either down or not responding. Once, I even got a message saying the payment was received but when I checked the app a few minutes later, it showed the payment wasn’t received, even though the money had already been deducted.  When I contacted customer support, instead of taking responsibility, they asked me to provide the sender’s details. That’s not my job. The issue is clearly with their system, not mine.  Very disappointed with how unreliable and careless this platform has become.  1 star is too much for them I wish I could give him (-)stars",2025-06-19T21:27:12-07:00,5.5.21
np,12781029421,guttergentleman,1,Extremely Disappointing Customer Care,I had been following up for un-hold of balance from a week ago. The last mail they sent stated that there is no any progress. All the documents sent should be resent. Very very disappointed.,2025-06-16T06:08:12-07:00,5.5.20
np,12780027218,Public influence,1,My review,Many time glitches when we need ! Servers are down ! Request timeout !,2025-06-15T23:22:57-07:00,5.5.20
np,12772109746,Vedoszzz,2,Money hold,Why esewa holding our money and I can’t use it this is bad,2025-06-13T22:28:37-07:00,5.5.20
np,12768187490,kalu Dona,1,My problems,I think it is good but I can’t get even a coed,2025-06-12T21:35:37-07:00,5.5.20
np,12742917550,omkarstha,1,uninstalled forever,1/3 times payment garda issues bhayo. was a loyal customer for 2 years. yo 2082 baisakh dekhi ta bijok bhayo.,2025-06-06T08:06:02-07:00,5.5.20
ae,12768892204,Raghavkhanal10,1,Worst app ever,Aak number ko khatam app for online transactions🤮🤮,2025-06-13T03:02:14-07:00,5.5.20
ae,12727467612,Manozz123,1,Issue not solved,They just answered with good words but not solving issues.,2025-06-02T07:08:34-07:00,5.5.20
us,12783412672,Deep7181,2,Lagging and freezing,Sometimes log in isn’t possible and sometimes money transfer delays or doesn’t go at all.,2025-06-16T19:59:53-07:00,5.5.20
