country,review_id,author,rating,title,review_text,date,app_version
au,12956681289,glanlauda,1,Worst,"Customer care is completely zero, i am having trouble since a month, either they really don't understand or they don't want to listen to the customers. Same thing i have been keep telling them but always replying my email same as computer robot. Let me declare my 5000rs after that i will never use this esewa ever. Now this esewa is charging for each and every single transaction without informing customers, before wasn't.😡",2025-07-30T17:03:19-07:00,5.5.24
au,12943589427,Devashish Balami,1,Doesn’t let me login from my abroad number,I register from my aus number before I got money on it now I cannot sign in because you guys just let Nepalese number,2025-07-27T11:25:12-07:00,5.5.24
au,12869879948,Krishna 0000,1,Absolutely untrustworthy and poorly managed,"I rarely leave reviews, but my experience with this finance app was so bad, I feel compelled to warn others. Worse than the app, though, are the people running it. I’ve reached out to support multiple times with serious issues affecting my financial data, and the responses I got were either canned messages or completely unhelpful.   I’ve deleted the app and moved to a more reputable service. I strongly suggest you do the same — don’t risk your finances with a company that clearly doesn’t care.",2025-07-08T22:06:25-07:00,5.5.24
ca,12959308974,Ramu16161,1,Billa appxa,Emergency ma kam nai gardaina.. Worst Wallet app in Nepal..,2025-07-31T08:29:42-07:00,5.5.24
my,12848726237,Snt mehta,5,Can’t log in,Aaj ko new update garda login garxu 1 second me login expired dekhaunxa login ne hudena k vyeko yo yaar esewalai,2025-07-03T12:34:21-07:00,5.5.24
np,12958829405,Nirajaann,1,Wayat,App,2025-07-31T06:20:08-07:00,5.5.24
np,12946864843,Binod.1,1,Nonsense app,Shut down your application if you cannot improve the services and bug… Everytime when i need this app it goes down.  For what purpose you guys are operating this application if you cant provide service…,2025-07-28T07:57:02-07:00,5.5.24
np,12946358493,Bkwdkk,1,Not nice,It’s the worst app ever it never works nicely and always have technical issues .,2025-07-28T05:31:24-07:00,5.5.24
np,12946336814,Sahariya kto,1,Always Server Down,Sorry but worst Transaction method this when ever it time to pay always facing Server down Problem,2025-07-28T05:24:47-07:00,5.5.24
np,12942986529,Awal***,1,Very inconvenient,Breaks too frequently. too inconvenient to depend on.,2025-07-27T08:20:45-07:00,5.5.24
np,12937856592,PHURBAG,1,Problems while using,Worst application in 2025,2025-07-26T01:25:52-07:00,5.5.24
np,12914485764,Yamsonzon,1,Worst service ever,Worst service ever. Pending all my money for 3 days aru ko paisa lai pending ma rakhne phone garda 24 hours lagxa vanxa. Please avoid this scam,2025-07-20T06:21:10-07:00,5.5.24
np,12905057117,Pranay388,1,Issue,This is a trash app kahile kahi talai chalcha tara kaile kai chai pending or kei issue ako vayera payment vako chaina vanera vandincha. This issue should be solved,2025-07-17T20:20:02-07:00,5.5.24
np,12889523109,Prashant poudel,5,CABLE,1414,2025-07-13T23:32:29-07:00,5.5.24
np,12870730548,Neupane ashish,1,Scammer app,Scammer sanga milara scammed garne app ko Kam xaina download na garda hunxa kehai support aaudina costumer support bata pani Jabo kehai kura solve garne aaukat xaina vane k l### khana app banako hola,2025-07-09T03:54:57-07:00,5.5.24
np,12849826091,Bavuma the don,1,Babashir app,"Ye kya babashir aap banayee ho be , login kartee hi your session has expired bolta hai . Kuch dhang ka kaam kar lia karo , app bana kar testing bhi kiya karo",2025-07-03T19:49:30-07:00,5.5.24
np,12843224811,Saileshkc12,1,Payment issue,"Disgusting app....worst app  I have faced lots of issues like not working (request time out, service out of reach) while at vendor. It's shameful to use this app. It has made situations awkward in public for me .",2025-07-02T05:39:21-07:00,5.5.23
us,12953600657,Joey Wickham,1,Unable to use as American,"Very frustrating. Tried for over an hour to setup so that I could use for paying certain items, but couldn’t get past the final document page. I uploaded passport, but it would let me select proper expiration date and it asked me to submit back page of passport. Even after putting expiration date as far as I could in future and uploading front of passport twice, it wouldn’t let me get through last step.  I guess I will be either using fonepay or cash where I have to.",2025-07-30T00:07:30-07:00,5.5.24
us,12921593382,aanimesh111,1,Bad experience with the app and service,Respect for being the first online payment platform in Nepal. The service and app experience these days are worst in comparison to other platform. Going to delete the account and uninstall the app.,2025-07-22T00:49:59-07:00,5.5.24
