country,review_id,author,rating,title,review_text,date,app_version
au,5790349194,esewauser,5,Thank you e-sewa,I blessed to have e-sewa on my phone. I simply made my life a lot easier for paying bills from wherever I am.  Loved it!,2020-04-10T03:16:33-07:00,5.2.9
au,5754159701,Hahahahehu,1,Apps built by a Hacker,Can’t trust any more.,2020-04-02T21:36:53-07:00,5.2.8
de,5800695761,bijinpradhan,5,Esewa service and staff,"I downloaded the app due to the suggestion made by my friend amit maharajan, and i use the app daily in every days work. This has been a very fruitful experience. Thank to Mr. Amit Maharjan you are doing a great job.",2020-04-12T05:30:02-07:00,5.2.9
in,5882151873,Naresh Thapa Magar,4,Load Money,I can’t load money by international debit card,2020-04-29T20:57:25-07:00,5.2.9
in,5808807491,Ravi General Store,5,Dhirendra Kumar Singh,eSewa is Nepal's first and largest Payment Service Provider,2020-04-13T22:57:50-07:00,5.2.9
in,5759960891,Anjanbasnet000,1,Do not install,Do not install this app because it is lead by corrupted and dumb people who wants to take advantage of innocent Nepalese citizens. They are educated dumbass motherfcuker. They are looser not a leader. So uninstall as soon as possible because they will misuse your personal sensitive information for their benifit. Shame on you F1soft.,2020-04-04T00:32:22-07:00,5.2.8
kr,5804219981,rajendra lamichhane,5,app,good app,2020-04-12T23:48:17-07:00,5.2.9
us,5799359347,ndien1234,5,Many services to choose from.. excellent service.. very convenient,convenient,2020-04-11T22:20:26-07:00,5.2.9
us,5796521260,Uttam Chhetri,5,Appreciating,Doing great,2020-04-11T08:10:15-07:00,5.2.9
us,5790462324,sushila maharjan,5,Review,Easy to use  Consume our time,2020-04-10T03:48:23-07:00,5.2.9
us,5790418487,Santosh Sheestha,5,My payment option is very useful. Thank you for updating.,::,2020-04-10T03:36:06-07:00,5.2.9
us,5770024380,kunwar sagar,5,Best Payment App,One of the best and convenient digital wallet.,2020-04-06T01:30:10-07:00,5.2.8
us,5769677306,Damodar Paudel,5,Making life easier,"What an app to use on...making each and every payment easier, and much more easier. ..simplifying life...",2020-04-05T23:35:02-07:00,5.2.8
us,5767200701,HazardBibek,1,Can’t trust the app anymore,It is very shameful to know about recent incident on controlling over the press.I think the app is really against data privacy,2020-04-05T10:34:26-07:00,5.2.8
us,5764707192,Saroj Sitaula,5,It has been an excellent tool for me!,"I have been using Esewa for years now, and I have found it an amazing assistant in my everyday life.   However, I have this against them: They have reduced their reward point giving policy very significantly. The company can work out better to keep their users in this competitive market.   All the best.",2020-04-04T22:32:08-07:00,5.2.8
us,5754762134,Oomessrana,1,I don’t trust them,Incident which happened last time it shows the credibility of this company is low and I can not risk my bank information to give them . If you don’t know please search news about them,2020-04-03T00:53:30-07:00,5.2.8
us,5754345388,#backoff,1,Anti law operations,"You should not download this app, if you are a democracy lover..",2020-04-02T22:36:55-07:00,5.2.8
