locale,review_id,author,rating,review_text,date,app_version
en-np,8c7f2762-b983-4620-9b88-6fdc36e2f2a3,A Google user,1,i have only registered from one device ...but it says 4 device registered...and i cannot login...resolve this problem fast,2019-06-30T16:16:37,3.5.3.0
en-np,67200f0e-b3df-45aa-ab37-17ec1a786868,A Google user,5,good,2019-06-30T13:29:40,
en-np,4b311798-b594-40c1-80fb-a0324049aace,A Google user,2,Slow during bank transaction. Recover it soon.,2019-06-30T12:43:43,
en-np,f35c1db4-0cc7-4579-a631-e50138caf149,A Google user,5,wow,2019-06-30T12:19:32,3.5.3.0
en-np,adef3d77-2f86-431c-a172-78bcbcd04dc7,A Google user,4,"Standard Chartered bata pani esewa maa money upload garna milne huna paryo hajur, so ekchoti esewa ra SC ko meeting basalna paryo.",2019-06-29T16:52:00,3.5.3.0
en-np,98a9005a-01e1-41ef-ab1a-8eaafea6a6eb,A Google user,5,i like it,2019-06-29T14:51:24,3.5.3.0
en-np,25565e77-4f91-4ae1-ae73-6e05d9610ab7,A Google user,5,This is the best app for ani payment,2019-06-29T09:38:54,3.5.2.0
en-np,92c121c3-5e3f-4502-8690-7e223b00ab38,A Google user,1,Worst experience till date. No response from customer care. No guidelines of the company. No compensation even if its the fault of the company,2019-06-29T09:20:06,3.5.3.0
en-np,2d476f50-5515-4108-ac4e-22a9662e2336,A Google user,5,Nice,2019-06-29T05:32:40,
en-np,abffb260-9400-4412-b7db-af34aeee362f,A Google user,1,Booked airlines tickets worth Rs.25000 for 5:30pm but got the confirmation of 3:50 pm. Due to error of Esewa my money is wasted and the customer care says its your mistake not our and we cannot do anything about it. They are again asking for Rs.4900 for timing change. worst experience every had,2019-06-28T17:19:33,
en-np,8331ba05-0c69-431c-84d0-6c8541d86a2d,A Google user,4,useful,2019-06-28T14:34:05,3.5.3.0
en-np,dd4b278c-fd95-4137-93e2-6957586dc10f,A Google user,1,all well but offline mode is not working,2019-06-28T14:27:46,3.5.3.0
en-np,e4cae4ea-a0d3-4650-a09b-805363c407d3,A Google user,5,"यसमा सबै कुरा पुर्ण छ तर नेपाल लाइफ इन्स्योरेन्स को पनि प्रिमियम तिर्ने ब्यवस्था भए कति राम्रो हुन्थ्यो ।। please esewa team , reply it .",2019-06-28T13:32:07,3.5.3.0
en-np,9aef2117-2713-4f17-b8d9-96890eb80ba1,A Google user,3,Good app,2019-06-28T07:32:35,3.5.3.0
en-np,5800155a-5f8c-41f1-80ab-04f20f2ad3a8,A Google user,4,"Excellent. However , Loading Funds has been a difficulty As There has been lot of time taken During loading funds...",2019-06-28T03:07:17,3.5.3.0
en-np,53372bd7-b267-41f8-baea-46c2c4b949fd,A Google user,1,The app keeps opening by itself and asks for pin/password.,2019-06-27T19:07:42,3.5.3.0
en-np,13963d61-5416-4422-b0f7-3e7e6692b9de,A Google user,1,when i need most app did not work . worst service ever,2019-06-27T12:18:19,3.5.3.0
en-np,03188666-034a-444c-a7e1-f624c162b464,A Google user,4,Esewa shouldtry to expand its services for international payments. Like payment for GRE and many more .,2019-06-26T17:49:29,3.5.3.0
en-np,974fa5a8-2729-4ee7-bd90-dbfb9a3152ca,A Google user,3,only showing advance payment electric bill why,2019-06-26T07:28:15,3.5.3.0
en-np,cf3f5db4-4d8f-4aa7-a89a-c4ad719200ac,A Google user,5,good,2019-06-26T04:31:59,
en-np,6dc61045-2291-4fe8-b324-0bf06c4b1e6d,A Google user,5,good app!,2019-06-25T23:47:04,3.5.3.0
