country,review_id,author,rating,title,review_text,date,app_version
au,10821971271,bb22j,1,worst app ever,"fckin disgusting, servers are always down when u need to pay… very awful experience",2024-01-14T10:16:32-07:00,5.4.7
np,10820444644,Nischal kC,1,Very Bad,when you need the most teti bela nae paisa najanay paisa na aaunay hunxa tori app,2024-01-14T01:55:08-07:00,5.4.7
np,10820389158,69jerryyy,1,Server down worse !,Jaile kaam pareko bela server down hunxa hunxaa !!! TrustIssue last dhereii xa yo app ma,2024-01-14T01:32:34-07:00,5.4.7
np,10820245367,Anish_garund,1,Error loading,Poor unstable and irresponsible service,2024-01-14T00:33:09-07:00,5.4.7
np,10820234223,anupalim,1,Randomly stopped working,Why do you create app if you don’t have proper services to provide. This app glitches and it’s not working suddenly. Fix your bug issues 👎👎,2024-01-14T00:28:30-07:00,5.4.7
np,10820184597,Jeevanlife,1,Doesn’t open,I am tying to see my statement but app is not responding. Had similar experience before. I do not recommend this app,2024-01-14T00:07:32-07:00,5.4.7
np,10820179144,hhecUfCklajen8888,1,Bad server,Too slow somedays the app doesnot even opens like out fund gets stuck and id tooo,2024-01-14T00:05:14-07:00,5.4.7
np,10820089332,Worst e pay,1,Disgusting,"The worst e pay app currently present this app doesn’t function properly. Even I have money on my account I can’t even pay with ease takes so long and the transaction is like the money is deducted from your acc but doesn’t show on actual balance. The most worst part is the customer service doesn’t even receive the calls.  I prefer if you are using this app just delete this trash. Because of the slow functioning, I have been scammed by this app 3 4 times cutting off my balance double times for the same payment.",2024-01-13T23:26:06-07:00,5.4.7
np,10820046350,Nischal sunar,1,Esewa,Worst app i have ever seen,2024-01-13T23:07:06-07:00,5.4.7
np,10820034927,Raz 16,1,Rubbish app,"App is not loading on time, I had a business account I wasn’t getting notice when I tried to contact customer service they were careless.",2024-01-13T23:01:57-07:00,5.4.7
np,10820014874,kabin thapa,1,Login problem,Cant login . Yo jasto jotko finance app nai kunai xaina .,2024-01-13T22:52:53-07:00,5.4.7
