country,review_id,author,rating,title,review_text,date,app_version
ae,11735272027,Telisha Rai,1,👎🏻,"so frustrating how easy it is to load money, but when it comes to sending it, it's a struggle.",2024-09-17T14:12:31-07:00,5.5.12
np,11736951358,Red- Devil,1,🤢🤮,Worst Customer Service ever experience such a rude lady who doesn’t know how to handel a customer 🤢🤢🤢🤮🤮🤮🤮🤮,2024-09-18T03:34:28-07:00,5.5.12
np,11736373063,009@rk,5,Lifestyle,Nice and easy to use..can do alot of transaction nowdays..,2024-09-17T22:50:39-07:00,5.5.12
