country,review_id,author,rating,title,review_text,date,app_version
np,12692396958,Ace Oatmeal,1,Too many glitch,1,2025-05-24T05:49:53-07:00,5.5.20
np,12689559976,Prajwal sick,1,Just deactivate this application,Worst paying application ever !!!,2025-05-23T11:34:15-07:00,5.5.20
