country,review_id,author,rating,title,review_text,date,app_version
in,13312461949,Theamack,1,Privacy concerns,This app has serieas privacy concerns. Even minor operation requires location services. Very sketchyapp,2025-10-25T07:25:50-07:00,5.5.27
np,13310429608,Krishang thapa,1,not working,i have try overal 100 time download and delete but it occur same problem crashing please esewa solve this problem in iphone 6 i haved fashesd a lot of problem because of crahsing  As soon as as possible please 🙏,2025-10-24T20:06:15-07:00,5.5.27
