country,review_id,author,rating,title,review_text,date,app_version
jp,13212816204,tero bauuuuu07,1,Gu jasto muji,Lado app muji dob jati rakhe pani mildena bhancha kera jasto solve gar yo sab problem muji esewa tori,2025-10-02T02:05:08-07:00,5.5.27
np,13213474259,AchyutParajuli49,1,Sending Money Issue,"When location is turned off, I cant send money. Why is location required for this action?",2025-10-02T05:30:57-07:00,5.5.27
np,13212167939,Good_boy04,2,Scam ho,"It’s a really convenient digital wallet , however ! k ho charges , j ma pani charges! Esewa to eSewa sathi lai send garnu paryo pani 10rs charge re ! It’s a scam",2025-10-01T21:59:10-07:00,5.5.27
