country,review_id,author,rating,title,review_text,date,app_version
np,10578003575,fezoon,1,Esewa ko disadvantage,Profile picture change garna milne garauna paro,2023-11-12T06:26:35-07:00,5.4.4
np,10576705591,Api Kunwar,2,KYC address failed,The option of municipality is still not updated. The option is still Pokhara Lekhnath Metropolitan city rather than Pokhara Metropolitan City.,2023-11-11T21:58:45-07:00,5.4.4
