country,review_id,author,rating,title,review_text,date,app_version
my,12848726237,Snt mehta,5,Can’t log in,Aaj ko new update garda login garxu 1 second me login expired dekhaunxa login ne hudena k vyeko yo yaar esewalai,2025-07-03T12:34:21-07:00,5.5.24
np,12849826091,Bavuma the don,1,Babashir app,"Ye kya babashir aap banayee ho be , login kartee hi your session has expired bolta hai . Kuch dhang ka kaam kar lia karo , app bana kar testing bhi kiya karo",2025-07-03T19:49:30-07:00,5.5.24
