locale,review_id,author,rating,review_text,date,app_version
en-np,6d61402a-c481-4c8f-99e3-83bce09f1aa3,A Google user,4,please have an option of nepal life insurance then I will give you 5 star,2019-03-14T11:54:57,3.4.9
en-np,c90b3fde-113b-4395-978e-e24362bdcc66,A Google user,2,hello i dont know why it always says that i have been using it in more than 3 devices while i havent used in more than 1,2019-03-14T08:48:20,3.2.8
en-np,68aff6c9-6cf0-4855-9736-c1a869701c56,A Google user,4,its best app for remote area of nepal but i had some issue... i can't upload my kyc form.. when i tried to upload it takes time and display no value present. can u help me for that,2019-03-14T07:40:57,3.4.9
en-np,d68900f1-f218-43cc-a076-bfd6d6b81c29,A Google user,5,It will be better If you all Installed A Atm 🏧 card 💳 For Esewa holder.,2019-03-14T03:50:46,
