locale,review_id,author,rating,review_text,date,app_version
en-np,db9b7f67-e69f-45e3-af6b-2d5a25c0d384,A Google user,5,it's easy for me to recharge,2019-01-19T16:35:10,3.4.6
en-np,e4711b93-954e-4407-95d4-d86337be2576,A Google user,5,Excellent,2019-01-19T12:24:23,3.4.6
en-np,5cefa19d-9606-40cb-b50d-11493c0017c9,A Google user,5,good,2019-01-19T06:08:50,
en-np,b7769cd0-aa31-45ea-a9d8-521ddade8e0e,A Google user,4,Great App. But i still can't pay my Khanepani bills of Baglung Municipality.,2019-01-19T02:37:44,3.4.6
