locale,review_id,author,rating,review_text,date,app_version
en-np,2642df44-8be2-434a-a398-f00187d5a331,A Google user,5,Nice app,2018-06-27T16:44:41,3.3.3
en-np,4d62bb3e-efc8-403c-813c-73c03cb8408b,A Google user,5,Yas apo baat money earn garn sakinxa,2018-06-27T15:09:27,
en-np,815768cb-696b-4400-bf8c-c1859adc0156,A Google user,3,"Unable to login since 2-3 days coz unable to enter special character in  password...not recognizing....😕 Reply : Sorry but still not working, ended  up changing my password via browser....you guys need to work it up...all  the best..👍",2018-06-27T09:50:55,3.3.3
en-np,c1421278-852f-4e58-b545-afb715ccf829,A Google user,5,Thank you for the instant solution. I have changed my previous review.,2018-06-27T07:15:21,3.3.2
en-np,32660394-65cf-4d6c-8591-6bc80da07eb4,A Google user,5,Good job guyzz,2018-06-26T18:58:33,3.3.3
