locale,review_id,author,rating,review_text,date,app_version
en-np,7b9f1998-4460-419c-8fa5-9d8c7602079e,A Google user,5,Loved,2020-02-07T14:49:17,3.6.7
en-np,292d393f-7e43-4227-ba3a-f801d84c3074,A Google user,5,It's very helpful app,2020-02-07T13:35:41,3.6.6
en-np,88deb87e-28d7-4ae4-a197-4684df99979e,A Google user,1,Always monthly transaction limit is off help me,2020-02-07T06:26:09,
en-np,2f0b849a-a9cd-4b74-b288-6fdc0377a771,A Google user,5,Better,2020-02-07T06:25:40,3.6.6
en-np,806a9f15-1e63-43a2-829f-e5e7cb62d333,A Google user,4,Pls add buy pubg uc service in esewa,2020-02-07T04:56:00,
en-np,2b3f6a4c-f2cf-4150-8b32-f5eac2cc3763,A Google user,5,Not open in my esewa I'd bank transaction,2020-02-06T18:15:50,3.6.7
