locale,review_id,author,rating,review_text,date,app_version
en-np,0c07d0c0-e7e9-4626-b2f3-914dcce31b2f,RaiNto113,5,This app is very good digital wallet app but it's service down before 10am i think that this app should will work 24 hrs,2021-03-21T13:56:17,
en-np,8e7b3ad8-3d2c-46ed-a33e-80e8c7b8deec,Dhruv Yadav,3,coz of Not getting purched anything in games ...You should make eswa like paytm,2021-03-21T13:37:50,3.8.7
en-np,9c0bef36-f0ee-48ed-bca7-e635e4826968,Arun Thapa,2,App crash whenever I try to view statement detail of bank transfer. 😡😡,2021-03-21T12:21:19,3.8.7
en-np,82356ca0-c5c2-4190-b0c3-08d66c5e4916,Parbesh Poudel,1,Like it,2021-03-21T08:57:08,
en-np,a2a1c3f4-3e56-48b7-8b99-6c2db9e22b27,Suman Pahadi,5,Nepal,2021-03-21T06:36:40,3.8.7
en-np,349fa22a-c183-4bd4-824f-b2abd292e694,Siyasha Xettri,5,Really good,2021-03-21T03:21:54,
