locale,review_id,author,rating,review_text,date,app_version
en-np,fbbd9198-b158-4fc2-a9b9-c8d2e8fe5da1,Lacty Girl,4,Ok,2022-05-12T16:49:06,
en-np,a930bd6c-08b8-4d8b-88d5-7c080c5f4a5e,HOM RAJ Ojha,4,"I would like to give you 4 star because there is no option of all bank... that's the problem if you fix I will be thankful to you.,🙏🙏",2022-05-12T15:25:34,3.8.18
en-np,66b551a6-cd69-4b2f-a065-4a3f5593906d,DEEP BHATTARAI,2,Maile transfer gare ko paisa nai receive vako xaina ane call center lai call garna ne uthdaina ??ke vako ho can you plz help me,2022-05-12T14:59:01,3.8.18
en-np,f94a7c54-1bac-4a1e-920f-c9144856e430,SMUGGLER FF,1,They don't reply in viber,2022-05-12T09:29:28,3.8.18
en-np,4ffd469c-77cc-41f2-9779-ced953a012a3,DIPEN RAI,3,I have RBB Account which is not available in the list. How can link it to this app?,2022-05-12T08:53:35,3.8.18
en-np,1f79e189-4387-41c6-8544-1e2500a7b72d,PSYCHO GAMER,5,So useful application,2022-05-12T03:17:28,
en-np,28b26d02-0651-4dfd-a341-547e9093a3ec,BIJAY Kumar,5,Its good apps i have used,2022-05-12T02:47:33,
en-np,64601c77-cfa1-4f7f-b071-fdfbd0cb4281,Asha Sunar,3,helpful app,2022-05-12T02:13:24,3.8.17
